StudentID,Gender,ParentEducation,AttendancePercentage,StudyHoursPerWeek,MathScore,ScienceScore,EnglishScore,HistoryScore,OverallAverage,PassStatus
STU-2372,Male,High School,70.8,18.7,53,58,61,61,53.2,Pass
STU-2373,Female,Doctorate,91.6,25.0,73,69,73,73,73.6,Pass
STU-2374,Female,Bachelor,82.7,21.9,82,76,86,81,82.3,Pass
STU-2375,Male,Associate,75.6,19.9,71,72,77,66,71.2,Pass
STU-2376,Female,High School,83.4,28.0,82,93,83,78,82.4,Pass
STU-2377,Female,High School,85.8,19.2,71,69,71,72,71.0,Pass
STU-2378,Male,Master,94.1,23.5,78,72,80,75,78.5,Pass
STU-2379,Female,Associate,83.7,10.8,61,67,63,58,61.3,Pass
STU-2380,Female,Doctorate,91.3,7.0,63,60,63,65,63.3,Pass
STU-2381,Male,Bachelor,66.9,23.5,64,66,70,66,64.6,Pass
STU-2382,Male,Bachelor,88.7,13.1,59,60,62,55,59.4,Pass
STU-2383,Male,Bachelor,80.8,11.1,65,55,68,74,65.5,Pass
STU-2384,Female,Bachelor,54.0,13.1,46,51,45,52,46.8,Fail
STU-2385,Male,Bachelor,76.6,23.4,71,71,77,67,71.6,Pass
STU-2386,Male,Doctorate,81.5,21.0,76,80,79,84,76.2,Pass
STU-2387,Female,Bachelor,80.5,16.9,76,76,80,76,76.2,Pass
STU-2388,Male,Doctorate,94.0,18.0,60,58,62,46,60.0,Pass
STU-2389,Male,Associate,96.3,10.5,57,55,59,53,57.4,Pass
STU-2390,Female,Doctorate,73.2,15.5,55,59,64,59,55.9,Pass
STU-2391,Male,Doctorate,59.7,13.4,54,56,61,50,54.9,Fail
STU-2392,Male,High School,79.8,25.6,73,75,80,71,73.7,Pass
STU-2393,Female,Bachelor,73.3,22.5,67,61,69,61,67.3,Pass
STU-2394,Female,Bachelor,81.2,12.7,56,53,57,61,56.9,Pass
STU-2395,Male,Doctorate,63.4,15.1,60,66,61,58,60.2,Pass
STU-2396,Female,High School,71.6,17.9,59,57,59,49,59.0,Pass
STU-2397,Female,High School,85.6,22.0,86,91,90,90,86.9,Pass
STU-2398,Female,High School,83.1,23.9,81,79,86,75,81.0,Pass
STU-2399,Male,Doctorate,91.5,13.6,70,77,75,75,70.3,Pass
STU-2400,Male,Master,88.5,9.3,53,57,53,52,53.2,Pass
STU-2401,Female,Master,87.2,17.5,62,68,63,61,62.9,Pass
STU-2402,Female,Associate,97.8,11.9,82,76,81,83,82.3,Pass
STU-2403,Female,High School,76.8,16.4,59,51,71,60,59.4,Pass
STU-2404,Female,Master,99.7,11.3,80,78,88,79,80.6,Pass
STU-2405,Female,Doctorate,69.9,17.9,67,65,77,62,67.7,Pass
STU-2406,Male,Bachelor,87.9,13.8,69,79,70,63,69.6,Pass
STU-2407,Male,Doctorate,78.9,14.7,64,68,71,59,64.5,Pass
STU-2408,Female,Doctorate,76.2,18.0,55,64,64,54,55.2,Pass
STU-2409,Female,Bachelor,90.4,13.5,70,72,80,67,70.9,Pass
STU-2410,Male,High School,79.8,12.9,60,63,62,58,60.6,Pass
STU-2411,Female,Associate,82.2,34.2,90,93,91,93,90.5,Pass
STU-2412,Male,Doctorate,76.9,25.2,77,82,78,70,77.9,Pass
STU-2413,Male,Master,84.2,9.2,61,43,67,65,61.3,Pass
STU-2414,Female,Associate,92.2,16.1,81,86,84,71,81.6,Pass
STU-2415,Male,Doctorate,65.9,11.3,49,41,50,42,49.0,Fail
STU-2416,Female,Bachelor,91.2,20.5,80,85,86,68,80.0,Pass
STU-2417,Female,Master,81.0,18.3,67,68,66,68,67.5,Pass
STU-2418,Male,Doctorate,87.0,14.5,60,67,60,71,60.2,Pass
STU-2419,Female,Master,74.1,15.0,64,65,66,61,64.2,Pass
STU-2420,Female,Bachelor,61.3,18.7,63,64,68,68,63.5,Pass
STU-2421,Male,Doctorate,74.3,17.8,58,65,62,63,58.8,Pass
STU-2422,Male,Associate,93.2,11.8,79,81,82,74,79.1,Pass
STU-2423,Male,Associate,76.0,18.0,66,67,71,58,66.3,Pass
STU-2424,Female,High School,98.9,12.3,64,65,56,61,64.3,Pass
STU-2425,Female,Bachelor,81.1,21.4,79,85,83,75,79.4,Pass
STU-2426,Male,Bachelor,84.5,21.9,79,83,80,80,79.6,Pass
STU-2427,Female,Bachelor,86.8,9.4,67,60,70,62,67.1,Pass
STU-2428,Female,Doctorate,61.6,24.3,52,50,54,63,52.5,Pass
STU-2429,Female,Associate,91.1,4.5,44,37,43,40,44.3,Fail
STU-2430,Male,Master,96.3,19.2,79,85,82,77,79.1,Pass
STU-2431,Male,Master,69.8,13.2,46,54,52,38,46.7,Fail
STU-2432,Female,Doctorate,89.2,29.2,83,82,92,83,83.5,Pass
STU-2433,Male,Doctorate,78.2,14.8,55,52,60,48,55.5,Pass
STU-2434,Male,High School,100.0,7.2,65,64,67,63,65.5,Pass
STU-2435,Male,Bachelor,87.4,19.6,70,62,74,58,70.8,Pass
STU-2436,Female,High School,83.0,17.0,77,78,81,83,77.9,Pass
STU-2437,Female,Doctorate,88.9,11.9,50,52,54,39,50.5,Pass
STU-2438,Female,Bachelor,92.3,15.7,69,66,74,68,69.7,Pass
STU-2439,Male,High School,66.5,22.4,58,58,58,54,58.0,Pass
STU-2440,Male,Associate,82.1,10.4,48,48,53,49,48.9,Fail
STU-2441,Male,Associate,95.2,15.7,78,81,80,79,78.3,Pass
STU-2442,Female,High School,100.0,18.6,86,78,89,81,86.0,Pass
STU-2443,Male,High School,93.5,17.0,70,70,71,68,70.9,Pass
STU-2444,Male,Bachelor,96.4,22.2,82,82,81,74,82.1,Pass
STU-2445,Male,Master,91.7,17.4,67,67,71,66,67.5,Pass
STU-2446,Female,Master,100.0,25.4,93,96,97,90,93.2,Pass
STU-2447,Male,Bachelor,92.9,23.3,79,73,85,76,79.7,Pass
STU-2448,Male,Master,91.5,23.6,82,90,89,83,82.4,Pass
STU-2449,Female,Doctorate,64.2,19.4,53,45,57,52,53.2,Pass
STU-2450,Male,Doctorate,77.9,17.6,66,64,67,64,66.4,Pass
STU-2451,Female,Doctorate,96.0,23.2,81,73,79,78,81.2,Pass
STU-2452,Male,Associate,100.0,10.0,71,71,65,71,71.2,Pass
STU-2453,Female,Master,87.2,9.8,65,62,69,63,65.5,Pass
STU-2454,Female,Associate,80.1,15.9,73,74,68,69,73.1,Pass
STU-2455,Male,Bachelor,75.3,21.8,69,68,72,77,69.3,Pass
STU-2456,Female,Master,87.0,26.5,88,84,91,88,88.9,Pass
STU-2457,Female,High School,68.0,11.0,54,54,61,55,54.3,Pass
STU-2458,Female,Associate,73.9,25.3,84,80,93,86,84.9,Pass
STU-2459,Female,Associate,73.2,23.3,67,63,72,56,67.3,Pass
STU-2460,Female,Associate,82.2,14.0,68,57,72,66,68.4,Pass
STU-2461,Male,Master,88.8,12.1,65,69,67,58,65.1,Pass
STU-2462,Female,Bachelor,79.3,17.9,50,46,50,40,50.7,Pass
STU-2463,Female,Doctorate,100.0,16.5,71,71,73,75,71.3,Pass
STU-2464,Female,Master,67.9,19.7,58,54,55,58,58.6,Pass
STU-2465,Female,Associate,73.4,9.3,46,56,42,47,46.2,Fail
STU-2466,Male,Master,77.7,16.7,74,70,78,77,74.2,Pass
STU-2467,Male,Associate,78.1,21.5,80,73,81,79,80.7,Pass
STU-2468,Male,Associate,100.0,4.9,66,70,66,69,66.0,Pass
STU-2469,Male,Associate,86.0,12.8,64,57,62,55,64.4,Pass
STU-2470,Male,Master,87.1,16.3,67,71,64,73,67.5,Pass
STU-2471,Male,Associate,88.2,16.8,69,74,72,76,69.2,Pass
STU-2472,Male,High School,100.0,23.1,89,92,94,83,89.8,Pass
STU-2473,Male,Master,85.8,22.0,60,55,65,67,60.7,Pass
STU-2474,Female,Master,87.0,16.8,80,81,86,77,80.7,Pass
STU-2475,Male,Doctorate,82.2,14.1,77,76,75,76,77.1,Pass
STU-2476,Female,Bachelor,87.4,10.6,69,68,71,68,69.7,Pass
STU-2477,Male,Bachelor,80.2,24.1,74,78,73,79,74.9,Pass
STU-2478,Male,Bachelor,72.0,16.1,59,57,60,62,59.2,Pass
STU-2479,Male,Master,77.1,19.3,63,76,65,68,63.8,Pass
STU-2480,Female,High School,74.1,21.5,63,63,67,57,63.0,Pass
STU-2481,Male,Master,100.0,17.6,69,69,66,62,69.2,Pass
STU-2482,Male,High School,71.5,23.1,71,75,73,69,71.0,Pass
STU-2483,Male,Master,100.0,15.0,65,68,74,66,65.1,Pass
STU-2484,Female,Bachelor,79.0,23.0,79,88,87,75,79.9,Pass
STU-2485,Male,Master,86.5,11.0,69,66,72,76,69.5,Pass
STU-2486,Female,Doctorate,92.5,14.4,64,59,70,68,64.2,Pass
STU-2487,Male,Doctorate,70.1,28.8,55,56,56,53,55.4,Pass
STU-2488,Male,Associate,65.2,15.1,60,59,70,59,60.9,Pass
STU-2489,Male,Bachelor,85.6,25.1,75,71,71,70,75.0,Pass
STU-2490,Female,Doctorate,95.5,15.3,60,53,66,59,60.5,Pass
STU-2491,Female,Doctorate,64.4,21.0,56,52,52,57,56.0,Pass
STU-2492,Male,Master,100.0,14.1,68,69,71,66,68.9,Pass
STU-2493,Female,Bachelor,79.9,30.0,90,87,91,91,90.3,Pass
STU-2494,Female,Associate,67.1,23.1,69,64,73,78,69.6,Pass
STU-2495,Female,Doctorate,67.7,15.6,68,70,67,65,68.5,Pass
STU-2496,Male,Doctorate,80.4,17.9,60,59,63,52,60.6,Pass
STU-2497,Female,Associate,81.4,7.2,42,39,46,46,42.0,Fail
STU-2498,Male,Bachelor,42.3,17.1,30,29,30,15,30.0,Fail
STU-2499,Female,Master,64.2,21.4,61,56,67,60,61.8,Pass
STU-2500,Male,Associate,89.4,19.8,76,77,79,72,76.8,Pass
STU-2501,Male,Doctorate,81.4,19.6,71,63,65,65,71.0,Pass
STU-2502,Male,Associate,67.7,24.2,62,53,62,68,62.8,Pass
STU-2503,Male,Associate,84.2,29.1,86,73,84,96,86.0,Pass
STU-2504,Female,High School,65.7,20.0,55,58,60,56,55.9,Pass
STU-2505,Female,Associate,100.0,16.4,72,70,79,73,72.3,Pass
STU-2506,Female,Master,72.7,21.9,65,70,67,60,65.9,Pass
STU-2507,Female,High School,64.4,21.4,69,75,72,66,69.5,Pass
STU-2508,Male,Associate,63.1,15.6,50,52,57,47,50.8,Pass
STU-2509,Female,Master,51.9,17.8,54,58,58,54,54.9,Fail
STU-2510,Female,Master,83.7,9.9,64,61,62,55,64.0,Pass
STU-2511,Male,Master,96.6,21.1,75,65,75,71,75.8,Pass
STU-2512,Male,Associate,64.8,30.0,74,76,73,73,74.0,Pass
STU-2513,Female,Associate,77.0,12.8,74,81,77,69,74.7,Pass
STU-2514,Female,Associate,92.2,16.9,72,73,73,77,72.9,Pass
STU-2515,Male,Associate,96.1,17.0,64,66,65,72,64.5,Pass
STU-2516,Male,High School,82.6,18.6,75,75,73,70,75.9,Pass
STU-2517,Female,High School,78.0,18.7,71,73,72,69,71.5,Pass
STU-2518,Male,Associate,60.8,18.2,61,74,66,63,61.7,Pass
STU-2519,Female,Bachelor,80.8,20.7,62,59,63,60,62.7,Pass
STU-2520,Female,Master,76.5,16.5,41,43,45,34,41.3,Fail
STU-2521,Male,Master,75.1,17.1,63,66,64,66,63.0,Pass
STU-2522,Female,Associate,77.7,14.4,56,58,52,58,56.9,Pass
STU-2523,Female,Doctorate,78.7,16.8,77,72,86,63,77.6,Pass
STU-2524,Male,High School,83.5,21.2,65,66,68,65,65.2,Pass
STU-2525,Male,Master,82.8,2.1,38,39,37,42,38.6,Fail
STU-2526,Male,Doctorate,99.8,23.6,91,88,95,91,91.1,Pass
STU-2527,Male,Master,80.5,12.8,60,65,65,65,60.9,Pass
STU-2528,Male,Bachelor,59.8,12.7,60,63,62,61,60.1,Fail
STU-2529,Male,Bachelor,90.3,21.0,73,72,78,79,73.8,Pass
STU-2530,Female,Bachelor,97.9,22.0,86,80,83,78,86.0,Pass
STU-2531,Male,High School,85.2,20.7,73,75,70,67,73.8,Pass
STU-2532,Female,High School,96.3,10.8,47,50,50,45,47.8,Fail
STU-2533,Female,Master,86.0,14.5,60,59,56,61,60.7,Pass
STU-2534,Male,Associate,89.7,13.4,58,63,56,52,58.3,Pass
STU-2535,Female,Associate,78.1,21.9,81,85,86,82,81.6,Pass
STU-2536,Male,Master,74.2,21.6,66,67,67,68,66.0,Pass
STU-2537,Female,Bachelor,93.2,9.7,77,69,79,70,77.6,Pass
STU-2538,Female,Master,93.8,21.8,68,68,68,74,68.2,Pass
STU-2539,Male,Associate,82.9,29.6,88,85,88,110,88.7,Pass
STU-2540,Female,Bachelor,94.2,23.2,75,83,84,66,75.2,Pass
STU-2541,Female,High School,68.7,12.0,47,49,51,51,47.8,Fail
STU-2542,Female,Master,90.9,17.6,72,78,67,75,72.0,Pass
STU-2543,Male,Associate,72.3,17.6,74,69,76,76,74.7,Pass
STU-2544,Male,Master,67.4,20.5,61,62,61,55,61.4,Pass
STU-2545,Male,Doctorate,93.0,17.8,76,76,76,77,76.6,Pass
STU-2546,Female,Associate,100.0,17.6,85,93,91,83,85.0,Pass
STU-2547,Male,Doctorate,89.7,10.3,56,53,62,60,56.5,Pass
STU-2548,Male,Associate,92.6,9.9,68,56,66,55,68.2,Pass
STU-2549,Male,Associate,87.7,10.2,58,66,56,55,58.4,Pass
STU-2550,Male,Master,70.4,14.6,60,63,62,62,60.8,Pass
STU-2551,Male,Doctorate,73.7,14.4,66,61,68,62,66.3,Pass
STU-2552,Female,Associate,98.6,25.1,93,91,96,97,93.9,Pass
STU-2553,Male,High School,93.2,18.4,78,89,82,76,78.7,Pass
STU-2554,Male,Associate,100.0,22.3,79,76,79,83,79.6,Pass
STU-2555,Female,Master,77.5,27.4,82,80,78,79,82.1,Pass
STU-2556,Male,Bachelor,82.8,13.4,71,68,77,66,71.1,Pass
STU-2557,Female,Associate,85.6,23.4,75,78,79,69,75.1,Pass
STU-2558,Male,Doctorate,68.5,16.2,62,53,68,59,62.4,Pass
STU-2559,Male,Doctorate,95.7,15.5,66,56,69,78,66.2,Pass
STU-2560,Female,Associate,82.8,18.4,75,75,70,79,75.6,Pass
STU-2561,Female,Doctorate,71.7,18.4,70,66,68,64,70.3,Pass
STU-2562,Male,High School,93.3,15.3,72,76,76,69,72.4,Pass
STU-2563,Female,Doctorate,78.5,20.8,79,78,82,85,79.8,Pass
STU-2564,Female,Master,78.9,21.7,75,71,78,74,75.4,Pass
STU-2565,Male,Master,77.7,32.1,83,84,82,88,83.3,Pass
STU-2566,Female,High School,53.0,18.4,53,48,52,53,53.0,Fail
STU-2567,Female,Master,82.4,18.9,50,50,49,44,50.5,Pass
STU-2568,Male,Bachelor,86.0,15.1,80,87,87,82,80.2,Pass
STU-2569,Male,Master,95.8,14.7,80,76,84,79,80.6,Pass
STU-2570,Male,High School,73.6,17.4,65,70,68,60,65.5,Pass
STU-2571,Female,Bachelor,72.8,12.8,45,53,47,45,45.6,Fail
STU-2572,Female,Associate,72.2,15.8,71,66,66,62,71.9,Pass
STU-2573,Male,Associate,100.0,26.7,83,87,84,84,83.6,Pass
STU-2574,Male,Doctorate,72.7,14.6,68,70,76,69,68.0,Pass
STU-2575,Female,Master,74.1,17.1,67,65,72,62,67.2,Pass
STU-2576,Female,Doctorate,100.0,17.5,71,73,71,65,71.0,Pass
STU-2577,Female,Master,66.7,25.2,60,64,67,56,60.5,Pass
STU-2578,Female,Master,77.7,12.4,40,34,43,39,40.5,Fail
STU-2579,Male,Doctorate,89.1,13.9,49,55,50,54,49.4,Fail
STU-2580,Female,Associate,66.3,25.2,79,70,75,74,79.8,Pass
STU-2581,Female,Bachelor,83.4,32.4,78,74,77,80,78.0,Pass
STU-2582,Male,Associate,71.6,13.2,60,62,62,60,60.3,Pass
STU-2583,Female,Doctorate,94.8,27.0,76,78,74,65,76.9,Pass
STU-2584,Female,Bachelor,69.0,18.4,58,57,62,56,58.7,Pass
STU-2585,Female,Master,68.5,17.7,54,53,62,52,54.9,Pass
STU-2586,Male,Associate,100.0,26.6,82,76,80,80,82.3,Pass
STU-2587,Female,Master,65.9,14.4,60,61,64,62,60.0,Pass
STU-2588,Female,Associate,86.5,12.9,71,71,73,67,71.8,Pass
STU-2589,Female,Associate,92.0,20.0,54,64,57,56,54.5,Pass
STU-2590,Female,High School,80.0,19.1,59,61,64,61,59.8,Pass
STU-2591,Female,Master,62.2,17.8,45,54,55,40,45.8,Fail
STU-2592,Female,High School,79.5,14.8,59,59,61,56,59.1,Pass
STU-2593,Female,Associate,90.2,21.9,77,81,76,73,77.8,Pass
STU-2594,Female,Associate,71.6,25.9,65,63,69,62,65.3,Pass
STU-2595,Female,High School,60.8,15.0,47,48,49,43,47.0,Fail
STU-2596,Female,High School,100.0,34.0,93,94,97,92,93.8,Pass
STU-2597,Male,Bachelor,87.1,13.2,67,54,64,59,67.5,Pass
STU-2598,Female,Associate,82.6,24.9,86,86,85,86,86.1,Pass
STU-2599,Female,High School,77.7,10.7,62,62,64,60,62.1,Pass
STU-2600,Female,Doctorate,71.2,27.5,77,75,79,64,77.0,Pass
STU-2601,Male,Master,85.0,22.6,67,66,69,68,67.8,Pass
STU-2602,Female,Associate,80.0,2.0,50,55,50,48,50.4,Pass
STU-2603,Male,Doctorate,88.8,23.8,81,86,84,79,81.1,Pass
STU-2604,Male,Doctorate,92.7,15.8,68,65,72,65,68.5,Pass
STU-2605,Male,High School,80.0,15.8,77,83,81,71,77.1,Pass
STU-2606,Male,High School,78.0,19.7,55,55,56,53,55.5,Pass
STU-2607,Male,High School,78.8,16.1,68,68,78,68,68.3,Pass
STU-2608,Male,Associate,69.4,20.8,76,84,75,67,76.3,Pass
STU-2609,Female,Associate,72.3,13.2,50,62,52,51,50.3,Pass
STU-2610,Female,High School,95.5,19.6,68,70,64,62,68.0,Pass
STU-2611,Female,Doctorate,92.6,19.8,68,59,71,66,68.0,Pass
STU-2612,Female,Doctorate,100.0,7.8,67,58,64,60,67.4,Pass
STU-2613,Female,Associate,100.0,2.3,49,59,45,48,49.0,Fail
STU-2614,Female,Master,85.7,27.1,82,82,81,88,82.6,Pass
STU-2615,Female,Bachelor,59.8,19.2,67,72,65,63,67.4,Fail
STU-2616,Male,High School,73.2,3.5,48,52,50,55,48.3,Fail
STU-2617,Female,Associate,85.2,10.9,47,53,55,45,47.1,Fail
STU-2618,Male,Doctorate,66.8,14.0,49,51,52,44,49.4,Fail
STU-2619,Male,High School,100.0,15.7,80,85,88,79,80.3,Pass
STU-2620,Female,High School,87.1,16.1,56,61,63,50,56.2,Pass
STU-2621,Male,High School,89.1,32.5,91,82,94,94,91.6,Pass
STU-2622,Female,Master,98.2,17.4,91,83,96,88,91.9,Pass
STU-2623,Female,Associate,78.1,19.1,74,80,79,70,74.8,Pass
STU-2624,Female,Bachelor,92.0,17.6,67,71,62,71,67.1,Pass
STU-2625,Male,Associate,96.6,11.3,63,67,63,62,63.5,Pass
STU-2626,Male,Master,77.5,22.1,72,65,77,64,72.8,Pass
STU-2627,Male,Master,79.6,22.3,49,55,46,52,49.1,Fail
STU-2628,Female,Associate,56.7,8.5,62,63,65,58,62.7,Fail
STU-2629,Female,High School,79.7,20.5,78,71,79,82,78.6,Pass
STU-2630,Female,Master,87.9,23.7,71,67,72,68,71.5,Pass
STU-2631,Female,High School,97.4,18.1,76,71,75,85,76.8,Pass
STU-2632,Female,High School,86.0,14.3,65,63,69,73,65.8,Pass
STU-2633,Female,Master,69.5,22.7,72,71,72,71,72.9,Pass
STU-2634,Female,Bachelor,96.2,28.9,99,103,101,98,99.1,Pass
STU-2635,Female,Doctorate,83.2,27.4,91,83,98,90,91.8,Pass
STU-2636,Male,High School,85.0,14.1,71,65,70,69,71.7,Pass
STU-2637,Male,Associate,76.4,16.5,63,65,65,66,63.5,Pass
STU-2638,Female,Master,75.6,20.6,62,71,66,69,62.1,Pass
STU-2639,Male,High School,74.3,28.0,75,73,78,80,75.5,Pass
STU-2640,Male,Master,80.9,30.5,73,72,73,63,73.6,Pass
STU-2641,Female,Doctorate,99.6,15.7,85,85,88,77,85.5,Pass
STU-2642,Male,Doctorate,67.6,28.0,69,64,68,69,69.1,Pass
STU-2643,Male,Master,80.0,20.7,72,81,78,69,72.5,Pass
STU-2644,Male,Master,77.4,14.3,67,70,65,67,67.0,Pass
STU-2645,Male,High School,81.9,19.5,77,78,79,77,77.3,Pass
STU-2646,Male,Master,71.1,15.5,72,79,67,80,72.3,Pass
STU-2647,Male,Bachelor,77.6,16.7,68,67,66,68,68.3,Pass
STU-2648,Male,Bachelor,81.3,17.4,63,64,59,65,63.4,Pass
STU-2649,Female,Associate,78.2,19.9,63,63,66,60,63.3,Pass
STU-2650,Female,Master,89.0,26.6,87,83,93,86,87.4,Pass
STU-2651,Female,Master,100.0,13.6,70,73,66,72,70.9,Pass
STU-2652,Male,Master,92.8,23.6,75,71,80,78,75.5,Pass
STU-2653,Female,Bachelor,77.6,17.1,51,50,55,45,51.1,Pass
STU-2654,Male,Associate,100.0,13.2,63,66,61,64,63.8,Pass
STU-2655,Female,Bachelor,100.0,26.2,79,87,72,78,79.2,Pass
STU-2656,Male,Master,76.7,18.8,66,64,66,62,66.5,Pass
STU-2657,Male,Doctorate,100.0,8.4,60,54,60,49,60.8,Pass
STU-2658,Female,Associate,87.2,16.0,73,73,75,72,73.4,Pass
STU-2659,Male,Master,83.0,16.9,54,50,52,47,54.1,Pass
STU-2660,Female,Doctorate,82.4,10.5,58,60,70,51,58.2,Pass
STU-2661,Male,Master,75.8,21.1,72,74,78,72,72.3,Pass
STU-2662,Male,High School,65.5,20.4,66,63,74,56,66.1,Pass
STU-2663,Male,Bachelor,92.9,21.6,70,71,72,72,70.6,Pass
STU-2664,Male,High School,64.3,31.3,82,79,87,89,82.5,Pass
STU-2665,Female,Bachelor,79.4,16.6,55,60,57,54,55.4,Pass
STU-2666,Female,Doctorate,100.0,5.0,55,52,60,57,55.6,Pass
STU-2667,Female,Associate,95.3,17.3,71,74,68,70,71.9,Pass
STU-2668,Male,Associate,78.0,22.7,87,94,88,82,87.2,Pass
STU-2669,Female,Bachelor,83.1,7.3,61,60,69,55,61.1,Pass
STU-2670,Male,Associate,85.0,15.1,66,68,70,59,66.7,Pass
STU-2671,Female,Associate,100.0,24.3,84,82,84,80,84.5,Pass
STU-2672,Male,Doctorate,93.5,11.9,75,76,77,75,75.1,Pass
STU-2673,Female,Doctorate,72.2,16.7,53,47,53,57,53.8,Pass
STU-2674,Female,High School,71.4,7.5,35,28,37,34,35.4,Fail
STU-2675,Female,Associate,78.6,19.4,70,76,78,69,70.4,Pass
STU-2676,Female,High School,93.3,21.9,72,75,74,73,72.6,Pass
STU-2677,Female,Doctorate,82.9,20.5,88,85,90,92,88.4,Pass
STU-2678,Male,Doctorate,79.6,23.0,67,63,78,66,67.5,Pass
STU-2679,Male,Master,82.6,14.0,67,62,63,70,67.9,Pass
STU-2680,Female,Doctorate,94.8,20.7,66,67,71,72,66.7,Pass
STU-2681,Male,Associate,68.3,19.3,59,55,53,61,59.5,Pass
STU-2682,Female,Master,66.5,12.2,38,35,43,43,38.5,Fail
STU-2683,Male,High School,85.1,6.9,57,53,54,60,57.4,Pass
STU-2684,Male,Doctorate,85.0,15.9,75,77,80,66,75.9,Pass
STU-2685,Female,Doctorate,81.8,16.1,65,60,67,67,65.0,Pass
STU-2686,Male,Associate,65.1,24.0,76,75,78,70,76.4,Pass
STU-2687,Male,Bachelor,87.2,22.0,74,76,80,68,74.1,Pass
STU-2688,Male,Associate,99.3,19.3,77,70,81,73,77.3,Pass
STU-2689,Male,Master,70.3,13.9,41,48,43,45,41.7,Fail
STU-2690,Female,Master,65.3,11.3,55,47,53,51,55.5,Pass
STU-2691,Male,Bachelor,72.8,17.7,65,74,66,69,65.4,Pass
STU-2692,Male,High School,86.3,21.5,77,72,82,81,77.4,Pass
STU-2693,Female,High School,96.2,22.3,67,69,69,66,67.4,Pass
STU-2694,Female,Bachelor,75.8,27.8,79,80,73,79,79.8,Pass
STU-2695,Male,Master,77.4,7.8,58,60,62,50,58.7,Pass
STU-2696,Male,Master,95.0,22.8,89,84,95,87,89.4,Pass
STU-2697,Male,Doctorate,81.4,16.2,59,56,58,60,59.5,Pass
STU-2698,Male,Doctorate,43.1,14.7,49,47,49,43,49.7,Fail
STU-2699,Female,Doctorate,76.7,32.9,80,79,84,77,80.9,Pass
STU-2700,Female,Bachelor,83.2,15.8,54,56,61,56,54.9,Pass
STU-2701,Male,Doctorate,82.3,24.4,95,94,97,83,95.3,Pass
STU-2702,Female,Master,84.2,18.2,58,60,61,58,58.5,Pass
STU-2703,Male,High School,84.6,19.0,71,61,70,63,71.6,Pass
STU-2704,Male,Bachelor,88.0,21.7,78,77,76,81,78.6,Pass
STU-2705,Female,Bachelor,85.3,17.3,76,70,76,71,76.0,Pass
STU-2706,Female,Associate,65.7,22.0,74,69,73,85,74.5,Pass
STU-2707,Female,Master,100.0,7.5,54,57,61,53,54.8,Pass
STU-2708,Female,High School,90.0,14.2,71,69,80,74,71.4,Pass
STU-2709,Male,Associate,90.0,15.7,51,57,57,55,51.2,Pass
STU-2710,Female,Associate,66.9,8.6,56,57,52,50,56.6,Pass
STU-2711,Male,Master,95.1,18.4,67,63,65,66,67.3,Pass
STU-2712,Female,High School,87.0,15.8,83,88,86,83,83.6,Pass
STU-2713,Female,Doctorate,92.5,18.3,77,80,78,73,77.4,Pass
STU-2714,Female,Doctorate,64.9,21.2,52,52,54,51,52.5,Pass
STU-2715,Female,Associate,84.9,14.4,55,59,62,51,55.9,Pass
STU-2716,Male,Associate,85.3,15.4,72,62,75,77,72.9,Pass
STU-2717,Male,High School,70.5,22.2,72,73,73,67,72.2,Pass
STU-2718,Male,High School,92.6,21.4,73,67,75,73,73.2,Pass
STU-2719,Female,Doctorate,86.9,16.8,62,67,68,61,62.2,Pass
STU-2720,Male,Master,92.9,15.7,68,72,72,69,68.8,Pass
STU-2721,Male,High School,77.9,6.6,55,58,55,57,55.8,Pass
STU-2722,Male,Doctorate,81.3,7.0,64,50,68,59,64.0,Pass
STU-2723,Male,Master,83.8,2.8,56,57,58,57,56.7,Pass
STU-2724,Female,Master,82.6,20.9,56,53,55,47,56.2,Pass
STU-2725,Female,High School,60.5,20.7,54,53,56,50,54.6,Pass
STU-2726,Male,Doctorate,73.0,21.7,72,75,76,70,72.5,Pass
STU-2727,Female,Associate,88.9,3.7,63,54,64,49,63.5,Pass
STU-2728,Male,High School,76.7,28.7,79,77,75,78,79.1,Pass
STU-2729,Female,Bachelor,81.8,17.6,84,91,90,80,84.6,Pass
STU-2730,Male,Master,85.4,15.5,62,50,71,67,62.1,Pass
STU-2731,Male,High School,71.9,13.2,62,65,60,59,62.3,Pass
STU-2732,Male,Master,73.6,11.2,57,55,60,52,57.3,Pass
STU-2733,Male,High School,75.5,16.9,56,50,55,47,56.0,Pass
STU-2734,Female,Bachelor,91.2,20.2,74,73,73,74,74.4,Pass
STU-2735,Male,Doctorate,86.2,30.4,81,84,85,84,81.2,Pass
STU-2736,Female,Doctorate,89.6,21.9,74,71,73,73,74.2,Pass
STU-2737,Female,Master,83.0,15.9,75,70,78,70,75.0,Pass
STU-2738,Female,High School,69.9,18.2,72,80,74,75,72.6,Pass
STU-2739,Female,Bachelor,82.1,19.7,70,64,78,73,70.0,Pass
STU-2740,Female,High School,70.9,17.6,56,55,58,49,56.3,Pass
STU-2741,Female,Master,91.4,18.7,65,67,72,69,65.6,Pass
STU-2742,Female,Master,79.1,19.6,79,83,81,73,79.0,Pass
STU-2743,Female,Associate,87.5,15.8,83,80,82,78,83.0,Pass
STU-2744,Male,Bachelor,91.0,18.5,61,63,60,59,61.0,Pass
